"Term","Definition"
"**kwargs","To deal with an unknown number of keyword arguments in a function, use the * symbol before the parameter name"
"*args","To deal with an unknown number of arguments in a function"
"*args","To deal with an unknown number of arguments in a function, use the * symbol before the parameter name"
"abstract base class","Abstract base classes (ABCs) complement duck-typing by providing a way to define interfaces. They may introduce virtual subclasses—classes that don’t inherit directly but are still recognized by isinstance() and issubclass(). Python’s abc module lets you create custom ABCs, and many built-in ABCs exist (e.g. in collections.abc, numbers, io, importlib.abc)."
"Access Arrays","How to access array items"
"Access Arrays","How to access array items"
"Access Arrays","How to access array items"
"Access Dictionary Items","How to access items in a dictionary"
"Access Dictionary Items","How to access items in a dictionary"
"Access Dictionary Items","How to access items in a dictionary"
"Access List Items","How to access items in a list"
"Access List Items","How to access items in a list"
"Access List Items","How to access items in a list"
"Access Set Items","How to access items in a set"
"Access Set Items","How to access items in a set"
"Access Set Items","How to access items in a set"
"Access Tuple Items","How to access items in a tuple"
"Access Tuple Items","How to access items in a tuple"
"Access Tuple Items","How to access items in a tuple"
"Add Array Element","How to add elements from an array"
"Add Array Element","How to add elements from an array"
"Add Array Element","How to add elements to an array"
"Add Class Methods","How to add a method to a class"
"Add Class Methods","How to add a method to a class"
"Add Class Methods","How to add a method to a class"
"Add Class Properties","How to add a property to a class"
"Add Class Properties","How to add a property to a class"
"Add Class Properties","How to add a property to a class"
"Add Dictionary Item","How to add an item to a dictionary"
"Add Dictionary Item","How to add an item to a dictionary"
"Add List Items","How to add items to a list"
"Add List Items","How to add items to a list"
"Add Set Items","How to add items to a set"
"Add Set Items","How to add items to a set"
"Alias Modules (Renaming a Module)","How to rename a module"
"annotation","A label associated with a variable, class attribute, function parameter, or return value; used by convention as a type hint. Annotations for globals, class attributes, and functions are stored in the annotations attribute. See also variable and function annotations as detailed in PEP 484 and PEP 526."
"argument","A value passed to a function (or method) when calling it. There are two kinds: keyword arguments (passed with an identifier such as name=…) and positional arguments (passed by position, or using the unpacking operators * or **). The evaluated value is assigned to the corresponding local variable in the function body."
"Arithmetic Operators","Arithmetic operators are used to perform common mathematical operations"
"Arithmetic Operators","Arithmetic operators are used to perform common mathematical operations"
"Array","Lists can be used as Arrays"
"Array","Lists can be used as Arrays"
"Array Length","How to get the length of an array"
"Array Length","How to get the length of an array"
"Array Methods","Python has a set of Array/Lists methods"
"Array Methods","Python has a set of Array/Lists methods"
"Assign Values to Multiple Variables","How to assign values to multiple variables"
"Assign Values to Multiple Variables","How to assign values to multiple variables"
"Assigning a String to a Variable","How to assign a string value to a variable"
"Assigning a String to a Variable","How to assign a string value to a variable"
"Assignment Operators","Assignment operators are used to assign values to variables"
"Assignment Operators","Assignment operators are used to assign values to variables"
"asynchronous context manager","An object that controls the environment for an async with statement by defining aenter() and aexit() methods. Introduced by PEP 492, it is similar in concept to a synchronous context manager but works with asynchronous code."
"asynchronous generator","A function defined with async def that returns an asynchronous generator iterator. It contains yield expressions (and may include await, async for, and async with statements) so its values can be produced one at a time in an async for loop."
"asynchronous generator iterator","The iterator created by an asynchronous generator function. When anext() is called, it returns an awaitable that resumes the generator’s execution until the next yield expression is reached."
"asynchronous iterable","An object that can be used in an async for loop. It must implement aiter() that returns an asynchronous iterator. Introduced by PEP 492."
"asynchronous iterator","An object that implements both aiter() and anext(), where anext() returns an awaitable yielding successive items in the sequence. It is used in async for loops and raised StopAsyncIteration when exhausted."
"attribute","A value associated with an object and referenced by name (typically using the dot notation). Attributes may be added dynamically with functions like setattr(), though those with non-identifier names are not accessible through typical dot expressions."
"awaitable","An object that can be used in an await expression. This includes coroutine objects (created by async def functions) or objects that implement an await() method. See also PEP 492."
"BDFL","Acronym for “Benevolent Dictator For Life”—a title that has been associated with Guido van Rossum, the original creator of Python."
"binary file","A file object that reads and writes bytes-like objects. Examples include files opened in binary modes (e.g. 'rb', 'wb', etc.), sys.stdin.buffer, sys.stdout.buffer, and in-memory binary streams such as io.BytesIO."
"Bitwise Operators","Bitwise operators are used to compare (binary) numbers"
"Boolean Values","True or False"
"borrowed reference","In Python’s C API, a borrowed reference is a pointer to an object that the current code does not own. It risks becoming a dangling pointer if the object is destroyed. Converting a borrowed reference to a strong one is typically done via Py_INCREF() or Py_NewRef()."
"Built-In Data Types","Python has a set of built-in data types"
"Built-in Modules","How to import built-in modules"
"bytecode","The internal, compiled representation of Python source code for the CPython interpreter. Bytecode is stored in .pyc files to speed up subsequent executions and runs on the Python virtual machine. Note that bytecodes are not stable between Python releases."
"bytes-like object","Any object that supports the buffer protocol and can export a C-contiguous buffer. This includes built-in types like bytes, bytearray, and array.array, as well as many memoryview objects. They are used for operations that require binary data processing."
"Call a Function","How to call a function in Python"
"callable","Any object that can be called using parentheses with arguments (e.g. function calls). Functions, methods, and instances of classes that define a call() method are all considered callable."
"callback","A subroutine (usually a function) that is passed as an argument to another function to be executed at a later time or in response to an event."
"Camel Case","Camel Case Variable Names"
"Change Dictionary Item","How to change the value of a dictionary item"
"Change List Item","How to change the value of a list item"
"Change Tuple Item","How to change the value of a tuple item"
"Check if Dictionary Item Exists","How to check if a specified item is present in a dictionary"
"Check if List Item Exists","How to check if a specified item is present in a list"
"Check if Set Item Exists","How to check if a set item exists"
"Check if Tuple Item Exists","How to check if a specified item is present in a tuple"
"Check In String","How to check if a string contains a specified phrase"
"class","A blueprint for creating user-defined objects. Class definitions contain method definitions and attributes that operate on instances of the class."
"Class","A class is like an object constructor"
"Class pass Statement","Use the pass statement in empty classes"
"class variable","A variable defined within a class that is meant to be shared by all instances of the class. It is modified at the class level rather than on individual instances."
"closure variable","A free variable that is used in a nested (inner) function but is defined in the enclosing outer function. It can be declared nonlocal in order to allow modification of its value."
"Comments","Comments are code lines that will not be executed"
"Comparison Operators","Comparison operators are used to compare two values"
"Complex","The complex number type"
"complex number","A number expressed as a sum of a real part and an imaginary part. In Python, complex numbers are written with a j suffix for the imaginary part (e.g., 3+1j), and operations on complex numbers can be handled using the built-in complex support or the cmath module."
"context","A term with multiple meanings in Python. It may refer to the temporary state set by a context manager (via with) or the key–value bindings of a contextvars.Context object used in asynchronous environments."
"context management protocol","The pair of special methods enter() and exit() that an object must implement to be usable with the with statement. This protocol allows setup and teardown actions to be managed automatically."
"context manager","An object that implements the context management protocol (i.e. defines enter() and exit()) to precisely set up and tear down a runtime context when used in a with statement."
"context variable","A variable whose value depends on the current execution context (the contextvars.Context). They are primarily used to isolate state between concurrently executing tasks."
"contiguous","A property of a buffer that indicates the memory layout is unbroken—either C-contiguous (row-major order) or Fortran contiguous (column-major order). In one-dimensional arrays, this means the items are stored sequentially in order of increasing index."
"Convert into JSON","How to convert a Python object into JSON"
"Copy a List","How to copy a list"
"Copy Dictionary","How to copy a dictionary"
"coroutine","A generalized form of subroutine that can suspend and resume its execution. In Python, coroutines are implemented with async def and are used for asynchronous programming."
"coroutine function","A function defined with async def that returns a coroutine object. It may contain await expressions, and can be paused and resumed, which makes it distinct from a regular function."
"CPython","The canonical and reference implementation of Python, available from python.org. It is written in C and is the most widely used Python interpreter."
"Create a Child Class","How to create a child class"
"Create a Class","How to create a class"
"Create a Date Object","How to create a date object"
"Create a Module","How to create a module"
"Create an Iterator","How to create an iterator"
"Create Class","How to create a class"
"Create Parent Class","How to create a parent class"
"Create the init() Function","How to create the __init__() function"
"Creating Variables","Variables are containers for storing data values"
"current context","The context currently active (a contextvars.Context object) used by ContextVar objects to access their values. Each thread has its own current context, and asynchronous frameworks manage context per task."
"Date Format Codes","The datetime module has a set of legal format codes"
"Date Output","How to output a date"
"Datetime Module","How to work with dates in Python"
"decorator","A function (or a callable) that returns another function or method, used to modify or enhance the behavior of the target function. The decorator syntax (@) provides a readable and expressive shortcut for applying decorators."
"Default Parameter Value","How to use a default parameter value"
"Delete Object","How to delete an object"
"Delete Object Properties","How to modify properties of an object"
"descriptor","Any object that defines get(), set(), or delete() methods. When a class attribute is a descriptor, its special methods are invoked during attribute lookup, setting, or deletion. Descriptors underpin many Python features such as properties, methods, and static/class methods."
"Dictionary","A dictionary is an unordered, and changeable, collection"
"dictionary","An associative array (or hash table) that maps arbitrary keys to values. A dictionary’s keys must be hashable and are looked up via their hash() and eq() methods."
"dictionary comprehension","A compact syntax for creating dictionaries. Using an expression within curly braces with a for clause (and optionally an if clause), it generates key–value pairs for the dictionary."
"Dictionary Length","How to determine the length of a dictionary"
"dictionary view","The dynamic objects returned by dict.keys(), dict.values(), and dict.items(), which reflect changes to the underlying dictionary. They provide a “view” on the entries without creating a separate list copy unless explicitly converted."
"docstring","A literal string (placed as the first expression in a module, class, or function) that serves as the canonical documentation accessible via introspection on the doc attribute."
"duck-typing","A programming approach where an object’s suitability is determined by the presence of certain methods or attributes rather than the object’s type. The adage “if it looks like a duck and quacks like a duck, it must be a duck” summarizes this approach."
"EAFP","“Easier to Ask for Forgiveness than Permission”: a common coding style in Python that assumes valid keys or attributes exist and catches exceptions if they do not, as opposed to pre-checking with if statements (LBYL)."
"Elif","elif is the same as ""else if"" in other programming languages"
"Else","How to write an if...else statement"
"Escape Characters","How to use escape characters"
"Evaluate Booleans","Evaluate a value or statement and return either True or False"
"expression","A syntax construct that can be evaluated to a value. Unlike statements (which perform actions), expressions build up values and can be combined or composed into larger expressions."
"extension module","A module written in C or C++ that uses Python’s C API to interact with Python’s core and user code, typically providing performance-critical functionality."
"file object","An object that provides a file-oriented API to an underlying resource. Depending on its creation, it may be associated with an on-disk file, in-memory buffer, or other I/O devices. It provides methods such as read() and write()."
"file-like object","Synonymous with file object; any object that exposes a file-oriented API (like read and write methods) regardless of whether it represents a real file."
"filesystem encoding and error handler","The encoding used by Python to decode bytes from the operating system and encode Unicode for output. The file system encoding guarantees correct decoding for bytes below 128 and is available via sys.getfilesystemencoding()."
"finder","An object responsible for finding the loader for a module that is being imported. There are meta path finders (used via sys.meta_path) and path entry finders (used via sys.path_hooks)."
"Float","The floating number type"
"floor division","A mathematical operation that rounds the result of a division down to the nearest integer. In Python, it is implemented with the // operator. For example, 11 // 4 evaluates to 2."
"For","How to write a for loop"
"For Break","How to break a for loop"
"For Continue","How to stop the current iteration and continue with the next"
"For Else","How to use an else statement in a for loop"
"For pass","Use the pass keyword inside empty for loops"
"Format JSON","How to format JSON output with indentations and line breaks"
"Format String","How to combine two strings"
"free threading","A threading model where multiple threads can run Python bytecode simultaneously within the same interpreter, contrasting with the global interpreter lock which normally prevents concurrent execution of Python bytecode."
"free variable","Formally any variable used in a namespace that is not local to that namespace. In practice, it often refers to a closure variable (a free variable used in an enclosing scope)."
"f-string","A string literal prefixed with ‘f’ or ‘F’ that allows embedded Python expressions inside curly braces. They are also known as formatted string literals (PEP 498)."
"function","A block of code designed to perform a particular task. Functions accept zero or more arguments and return a value. They are defined using the def keyword, and include a body of statements."
"Function","How to create a function in Python"
"function annotation","An annotation associated with a function’s parameters or return value. Function annotations are usually used for type hints and can be accessed via the annotations attribute."
"Function Arguments","How to use arguments in a function"
"Function Recursion","Functions that can call itself is called recursive functions"
"Function Return Value","How to return a value from a function"
"future","A future statement, from future import <feature>, directs the compiler to compile the current module using syntax or semantics that will become standard in a future release of Python. The future module documents possible feature values and when a new feature was first added and when it will (or did) become the default."
"garbage collection","The automatic process of freeing memory when objects are no longer in use. Python primarily uses reference counting along with a cyclic garbage collector to reclaim memory from reference cycles."
"generator","A special type of function that contains one or more yield expressions. When called, it returns a generator iterator that produces a series of values (one per yield) and retains its execution state between yields."
"generator expression","A compact expression (similar to list and set comprehensions) that returns a generator iterator. It uses a syntax that resembles a regular expression followed by a for clause, optionally with conditions."
"generator iterator","The iterator object that is returned by a generator function. Each yield in the generator suspends and later resumes execution, preserving the generator’s state."
"generic function","A function composed of several implementations tailored for different argument types. The dispatch algorithm selects the proper implementation based on the type of a single argument, as seen with functools.singledispatch and PEP 443."
"generic type","A type that can be parameterized (for example, list or dict). Generic types are used for type hints and annotations and are described further in PEP 483, PEP 484, and PEP 585."
"GIL","Abbreviation for “global interpreter lock”. It is the mechanism in CPython that allows only one thread to execute Python bytecode at a time, simplifying memory management and object model concurrency."
"global interpreter lock","The lock used by the CPython interpreter to prevent multiple threads from executing Python bytecode simultaneously, ensuring thread safety of internal data structures. Some extension modules release the GIL during heavy computations or I/O operations."
"Global Keyword","The global keyword makes the variable global"
"Global Scope","When does a variable belong to the global scope?"
"Global Variables","Global variables are variables that belongs to the global scope"
"Handle Many Exceptions","How to handle more than one exception"
"hashable","An object is hashable if it has a hash value that remains constant during its lifetime and can be compared to other objects. This property is required for using objects as dictionary keys or set members."
"hash-based pyc","A pyc file (Python’s compiled bytecode) that uses the hash of the corresponding source file instead of the last-modified time to determine if the cache is valid."
"Identity Operators","Identity operators are used to see if two objects are in fact the same object"
"IDLE","The Integrated Development and Learning Environment provided with the standard Python distribution. It is both an editor and an interpreter environment designed primarily for beginners."
"If AND","Use the and keyword to combine if statements"
"immortal","An implementation detail of CPython where some objects (such as True and None) never have their reference counts modified and are never deallocated for the lifetime of the interpreter."
